Title1,Title_URL1,inlineblock1,textxs1,prxs1,plxs1,mrmd2,mrm1,capitalize1,capitaliz1,button_URL1,button1,Title,Title_URL,inlineblock,textxs,prxs,plxs,mrmd,mrmd1,capitalize,capitalize2,button_URL,button
Gushers,https://www.leafly.com/strains/gushers,Hybrid,"aka White Gushers, White Gusherz",4.6,(219),THC 24%,CBG 1%,Tingly,Limonene,https://www.leafly.com/search/shop?shopCategory=strain&shopName=Gushers,shop menus,,,,,,,,,,,,
MAC,https://www.leafly.com/strains/mac,Hybrid,"aka Miracle Alien Cookies, Miracle Cookies",4.6,(437),THC 22%,CBG 1%,Happy,Limonene,,,,,,,,,,,,,,
Slurricane,https://www.leafly.com/strains/slurricane,Indica,,4.6,(357),THC 20%,CBG 1%,Sleepy,Caryophyllene,,,,,,,,,,,,,,
Sundae Driver,https://www.leafly.com/strains/sundae-driver,Hybrid,aka Sunday Driver,4.6,(448),THC 21%,CBG 1%,Giggly,Limonene,https://www.leafly.com/search/shop?shopCategory=strain&shopName=Sundae%20Driver,shop menus,,,,,,,,,,,,
Pink Runtz,https://www.leafly.com/strains/pink-runtz,Hybrid,,4.6,(203),THC 24%,CBD 0%,Giggly,Caryophyllene,,,,,,,,,,,,,,
Chemdawg,https://www.leafly.com/strains/chemdawg,Hybrid,aka Chemdog,4.3,(2389),THC 18%,CBD 0%,Euphoric,Caryophyllene,https://www.leafly.com/search/shop?shopCategory=strain&shopName=Chemdawg,shop menus,,,,,,,,,,,,
Strawberry Cough,https://www.leafly.com/strains/strawberry-cough,Sativa,,4.3,(2716),THC 19%,CBG 1%,Energetic,Myrcene,https://www.leafly.com/search/shop?shopCategory=strain&shopName=Strawberry%20Cough,shop menus,,,,,,,,,,,,
London Pound Cake,https://www.leafly.com/strains/london-poundcake,Hybrid,aka Pound Cake,4.6,(186),THC 21%,CBG 1%,Sleepy,Caryophyllene,https://www.leafly.com/search/shop?shopCategory=strain&shopName=London%20Pound%20Cake,shop menus,,,,,,,,,,,,
Blue Cookies,https://www.leafly.com/strains/blue-cookies,Hybrid,"aka Blue GSC, Blue Girl Scout Cookies",4.7,(701),THC 17%,CBD 0%,Relaxed,Caryophyllene,,,,,,,,,,,,,,
Lemon Cherry Gelato,https://www.leafly.com/strains/lemon-cherry-gelato,Hybrid,,4.6,(221),THC 24%,CBD —,Relaxed,,,,,,,,,,,,,,,
Cheetah Piss,https://www.leafly.com/strains/cheetah-piss,Hybrid,,4.5,(154),THC 20%,CBG 1%,Aroused,Caryophyllene,,,,,,,,,,,,,,
Super Lemon Haze,https://www.leafly.com/strains/super-lemon-haze,Sativa,aka SLH,4.4,(2357),THC 19%,CBG 1%,Energetic,Terpinolene,https://www.leafly.com/search/shop?shopCategory=strain&shopName=Super%20Lemon%20Haze,shop menus,,,,,,,,,,,,
Bubba Kush,https://www.leafly.com/strains/bubba-kush,Indica,"aka BK, Bubba, Bubba OG Kush",4.3,(3521),THC 17%,CBD 0%,Sleepy,Caryophyllene,https://www.leafly.com/search/shop?shopCategory=strain&shopName=Bubba%20Kush,shop menus,,,,,,,,,,,,
Wedding Crasher,https://www.leafly.com/strains/wedding-crasher,Hybrid,aka Wedding Crashers,4.6,(291),THC 21%,CBG 1%,Focused,Caryophyllene,https://www.leafly.com/search/shop?shopCategory=strain&shopName=Wedding%20Crasher,shop menus,,,,,,,,,,,,
Animal Mints,https://www.leafly.com/strains/animal-mints,Hybrid,,4.5,(147),THC 27%,CBG 1%,Hungry,Caryophyllene,,,,,,,,,,,,,,
Lemon Haze,https://www.leafly.com/strains/lemon-haze,Sativa,,4.2,(2507),THC 19%,CBG 1%,Energetic,Myrcene,https://www.leafly.com/search/shop?shopCategory=strain&shopName=Lemon%20Haze,shop menus,,,,,,,,,,,,
Cookies and Cream,https://www.leafly.com/strains/cookies-and-cream,Hybrid,"aka Cookies n Cream, Cookies & Cream",4.5,(691),THC 20%,CBG 2%,Happy,Caryophyllene,https://www.leafly.com/search/shop?shopCategory=strain&shopName=Cookies%20and%20Cream,shop menus,,,,,,,,,,,,
Forbidden Fruit,https://www.leafly.com/strains/forbidden-fruit,Indica,,4.6,(883),THC 16%,CBD 0%,Sleepy,Myrcene,,,,,,,,,,,,,,
Amnesia Haze,https://www.leafly.com/strains/amnesia-haze,Sativa,,4.3,(1615),THC 19%,CBG 1%,Energetic,Myrcene,,,,,,,,,,,,,,
AK-47,https://www.leafly.com/strains/ak-47,Hybrid,aka AK,4.1,(2945),THC 19%,CBD 0%,Talkative,Myrcene,,,,,,,,,,,,,,
Tropicana Cookies,https://www.leafly.com/strains/tropicana-cookies,Sativa,"aka Tropicanna Cookies, Tropicanna Cookies F2, MTN Trop",4.5,(355),THC 16%,CBD 0%,Energetic,Caryophyllene,https://www.leafly.com/search/shop?shopCategory=strain&shopName=Tropicana%20Cookies,shop menus,,,,,,,,,,,,
Lava Cake,https://www.leafly.com/strains/lava-cake,Hybrid,,4.5,(221),THC 22%,CBG 1%,Relaxed,Caryophyllene,https://www.leafly.com/search/shop?shopCategory=strain&shopName=Lava%20Cake,shop menus,,,,,,,,,,,,
SFV OG,https://www.leafly.com/strains/sfv-og,Hybrid,"aka San Fernando Valley OG, San Fernando Valley Kush, San Fernando Valley",4.4,(906),THC 20%,CBD 0%,Focused,Myrcene,,,,,,,,,,,,,,
Bubble Gum,https://www.leafly.com/strains/bubble-gum,Hybrid,aka Bubba Gum,4.1,(1215),THC 17%,CBG 1%,Happy,Caryophyllene,https://www.leafly.com/search/shop?shopCategory=strain&shopName=Bubble%20Gum,shop menus,,,,,,,,,,,,
Strawberry Banana,https://www.leafly.com/strains/strawberry-banana,Hybrid,aka Strawnana,4.5,(668),THC 21%,CBG 1%,Relaxed,Limonene,https://www.leafly.com/search/shop?shopCategory=strain&shopName=Strawberry%20Banana,shop menus,,,,,,,,,,,,
White Truffle,https://www.leafly.com/strains/white-truffle,Hybrid,,4.7,(116),THC 25%,CBG 1%,Tingly,Limonene,,,,,,,,,,,,,,
Trainwreck,https://www.leafly.com/strains/trainwreck,Hybrid,,4.2,(3099),THC 17%,CBG 1%,Euphoric,Terpinolene,,,,,,,,,,,,,,
Super Silver Haze,https://www.leafly.com/strains/super-silver-haze,Sativa,aka SSH,4.3,(2273),THC 20%,CBG 1%,Energetic,Myrcene,,,,,,,,,,,,,,
Grease Monkey,https://www.leafly.com/strains/grease-monkey,Hybrid,,4.6,(480),THC 22%,CBG 1%,Sleepy,Caryophyllene,https://www.leafly.com/search/shop?shopCategory=strain&shopName=Grease%20Monkey,shop menus,,,,,,,,,,,,
Purple Haze,https://www.leafly.com/strains/purple-haze,Sativa,,4.2,(1170),THC 16%,CBD 0%,Energetic,Myrcene,,,,,,,,,,,,,,
Maui Wowie,https://www.leafly.com/strains/maui-wowie,Sativa,"aka Maui Waui, Mowie Wowie",4.3,(1663),THC 19%,CBD 0%,Energetic,Myrcene,https://www.leafly.com/search/shop?shopCategory=strain&shopName=Maui%20Wowie,shop menus,,,,,,,,,,,,
LA Kush Cake,https://www.leafly.com/strains/la-kush-cake,Hybrid,"aka Los Angeles Kush Cake, LA Kush Cake #11",4.6,(138),THC 23%,CBG 1%,Aroused,Limonene,,,,,,,,,,,,,,
Zookies,https://www.leafly.com/strains/zookies,Hybrid,,4.6,(203),THC 21%,CBG 1%,Focused,Caryophyllene,,,,,,,,,,,,,,
Grape Ape,https://www.leafly.com/strains/grape-ape,Indica,,4.3,(2136),THC 18%,CBD 0%,Sleepy,Myrcene,https://www.leafly.com/search/shop?shopCategory=strain&shopName=Grape%20Ape,shop menus,,,,,,,,,,,,
Jealousy,https://www.leafly.com/strains/jealousy,Hybrid,,4.7,(48),THC 18%,CBD 0%,Giggly,Caryophyllene,https://www.leafly.com/search/shop?shopCategory=strain&shopName=Jealousy,shop menus,,,,,,,,,,,,
Tahoe OG,https://www.leafly.com/strains/tahoe-og,Hybrid,aka Tahoe OG Kush,4.4,(1452),THC 21%,CBG 1%,Sleepy,Myrcene,https://www.leafly.com/search/shop?shopCategory=strain&shopName=Tahoe%20OG,shop menus,,,,,,,,,,,,
Birthday Cake,https://www.leafly.com/strains/birthday-cake-kush,Hybrid,"aka Birthday Cake Kush, Birthday Cake #3",4.5,(517),THC 20%,CBG 1%,Relaxed,Caryophyllene,,,,,,,,,,,,,,
Banana Kush,https://www.leafly.com/strains/banana-kush,Hybrid,,4.2,(1229),THC 21%,CBD 0%,Talkative,Limonene,,,,,,,,,,,,,,
