Title1,Title_URL1,inlineblock1,textxs1,prxs1,plxs1,mrmd2,mrm1,capitalize1,capitaliz1,button_URL1,button1,Title,Title_URL,inlineblock,textxs,prxs,plxs,mrmd,mrmd1,capitalize,capitalize2,button_URL,button
Fire Cookies,https://www.leafly.com/strains/fire-cookies,Hybrid,,4.3,(6),THC 21%,CBG 1%,Tingly,Myrcene,,,,,,,,,,,,,,
Special Sauce,https://www.leafly.com/strains/special-sauce,Hybrid,,4.6,(36),CBD 15%,THC 1%,Relaxed,Myrcene,,,,,,,,,,,,,,
Bananas,https://www.leafly.com/strains/bananas,Hybrid,"aka B1, B1 Bananas, Banana",4.5,(33),THC 17%,CBG 1%,Relaxed,Limonene,,,,,,,,,,,,,,
Headband Cookies Bx1,https://www.leafly.com/strains/headband-cookies-bx1,Hybrid,,4.7,(10),THC —,CBD —,Euphoric,,https://www.leafly.com/search/shop?shopCategory=strain&shopName=Headband%20Cookies%20Bx1,shop menus,,,,,,,,,,,,
Robots,https://www.leafly.com/strains/robots,Hybrid,,4.9,(12),THC 29%,CBG 1%,Euphoric,Limonene,,,,,,,,,,,,,,
Chem Pie OG,https://www.leafly.com/strains/chem-pie-og,Hybrid,aka Chem Pie,4.7,(10),THC 22%,CBG 1%,Talkative,Limonene,,,,,,,,,,,,,,
Do-Si-Pie,https://www.leafly.com/strains/do-si-pie,Hybrid,aka Dosi Pie,4.7,(10),THC 14%,CBD 0%,Aroused,Caryophyllene,,,,,,,,,,,,,,
Bugatti,https://www.leafly.com/strains/bugatti-og,Hybrid,"aka Bugatti OG, Bugatti OG Kush",4.5,(57),THC —,CBD —,Relaxed,,,,,,,,,,,,,,,
Blue Iguana,https://www.leafly.com/strains/blue-iguana,Hybrid,,3.7,(13),THC —,CBD —,Talkative,,,,,,,,,,,,,,,
Shortbread,https://www.leafly.com/strains/shortbread,Hybrid,,4.6,(13),THC 14%,CBD 1%,Talkative,Limonene,,,,,,,,,,,,,,
Amherst Sour Diesel,https://www.leafly.com/strains/amherst-sour-diesel,Hybrid,,4.5,(26),THC 18%,CBG 1%,Tingly,Myrcene,,,,,,,,,,,,,,
8 Ball Kush,https://www.leafly.com/strains/8-ball-kush,Indica,aka 8 Ball,4.2,(65),THC 22%,CBG 1%,Hungry,Myrcene,,,,,,,,,,,,,,
Fucking Incredible,https://www.leafly.com/strains/fucking-incredible,Indica,,4.2,(247),THC 17%,CBG 1%,Tingly,Myrcene,,,,,,,,,,,,,,
Tangilope,https://www.leafly.com/strains/tangilope,Sativa,,4.5,(161),THC 14%,CBD 0%,Energetic,Myrcene,,,,,,,,,,,,,,
Blue Tommyz,https://www.leafly.com/strains/blue-tommyz,Hybrid,,4.9,(18),THC —,CBD —,Relaxed,,,,,,,,,,,,,,,
Gelato Pie,https://www.leafly.com/strains/gelato-pie,Hybrid,,4.4,(8),THC —,CBD —,Relaxed,,https://www.leafly.com/search/shop?shopCategory=strain&shopName=Gelato%20Pie,shop menus,,,,,,,,,,,,
Alice in Wonderland,https://www.leafly.com/strains/alice-in-wonderland,Sativa,,4.5,(112),THC 16%,CBG 1%,Creative,Myrcene,,,,,,,,,,,,,,
Sour OG Cheese,https://www.leafly.com/strains/sour-og-cheese,Hybrid,,4.9,(16),THC 18%,CBD 0%,Euphoric,Limonene,,,,,,,,,,,,,,
Bubble Bath,https://www.leafly.com/strains/bubble-bath,Indica,,4.9,(9),THC 16%,CBG 1%,Focused,Myrcene,,,,,,,,,,,,,,
Star Pupil,https://www.leafly.com/strains/star-pupil,Hybrid,,4.6,(21),THC 18%,CBG 1%,Focused,Myrcene,,,,,,,,,,,,,,
Purple Power,https://www.leafly.com/strains/purple-power,Sativa,,4.5,(24),THC —,CBD —,Talkative,,,,,,,,,,,,,,,
Black Russian,https://www.leafly.com/strains/black-russian,Indica,,4.4,(97),THC 16%,CBG 1%,Sleepy,Myrcene,,,,,,,,,,,,,,
Afghan Skunk,https://www.leafly.com/strains/afghan-skunk,Indica,aka Afghani Skunk,4.4,(62),THC 18%,CBG 1%,Sleepy,Myrcene,,,,,,,,,,,,,,
Blue Banana,https://www.leafly.com/strains/blue-banana,Hybrid,,4.8,(5),THC 21%,CBG 1%,Happy,Caryophyllene,,,,,,,,,,,,,,
Formula One,https://www.leafly.com/strains/formula-one,Hybrid,aka Formula 1,4.5,(4),THC —,CBD —,Energetic,,,,,,,,,,,,,,,
Pillow Factory,https://www.leafly.com/strains/pillow-factory,Hybrid,,4.4,(13),THC 21%,CBG 1%,Tingly,Limonene,,,,,,,,,,,,,,
Rollins,https://www.leafly.com/strains/rollins,Hybrid,,4.5,(67),THC —,CBD —,Energetic,,,,,,,,,,,,,,,
Burkle,https://www.leafly.com/strains/burkle,Indica,,4.7,(88),THC —,CBD —,Sleepy,,,,,,,,,,,,,,,
Sour Gorilla,https://www.leafly.com/strains/sour-gorilla,Sativa,aka Gorilla Diesel,5.0,(5),THC 19%,CBD 0%,Uplifted,Pinene,,,,,,,,,,,,,,
Rare Darkness,https://www.leafly.com/strains/rare-darkness,Indica,,4.6,(144),THC 16%,CBG 1%,Sleepy,Myrcene,,,,,,,,,,,,,,
Orange Runtz,https://www.leafly.com/strains/orange-runtz,Hybrid,,4.7,(16),THC 25%,CBG 2%,Focused,Myrcene,,,,,,,,,,,,,,
Timewreck,https://www.leafly.com/strains/timewreck,Sativa,,4.4,(144),THC 19%,CBG 1%,Energetic,Limonene,,,,,,,,,,,,,,
G.O.A.T.,https://www.leafly.com/strains/goat,Hybrid,,4.2,(10),THC —,CBD —,Relaxed,,https://www.leafly.com/search/shop?shopCategory=strain&shopName=G.O.A.T.,shop menus,,,,,,,,,,,,
The Hog,https://www.leafly.com/strains/hog,Indica,"aka Hog, Haracept, Tennessee Hog",4.1,(144),THC 20%,CBG 1%,Sleepy,Myrcene,,,,,,,,,,,,,,
Lemon Kush Headband,https://www.leafly.com/strains/lemon-kush-headband,Hybrid,,4.8,(13),THC 20%,CBG 1%,Relaxed,Limonene,,,,,,,,,,,,,,
Ice Cream Sundae,https://www.leafly.com/strains/ice-cream-sundae,Hybrid,,4.0,(5),THC —,CBD —,,,,,,,,,,,,,,,,
Big Mac,https://www.leafly.com/strains/big-mac,Indica,,4.4,(10),THC —,CBD —,Sleepy,,,,,,,,,,,,,,,
Gorilla Kush,https://www.leafly.com/strains/gorilla-kush,Hybrid,,3.9,(11),THC 18%,CBD 0%,Giggly,Myrcene,,,,,,,,,,,,,,
Chemmy Jones,https://www.leafly.com/strains/chemmy-jones,Hybrid,"aka Chem Jones, Chemdog Jones",4.6,(99),THC 18%,CBD 1%,Energetic,Caryophyllene,https://www.leafly.com/search/shop?shopCategory=strain&shopName=Chemmy%20Jones,shop menus,,,,,,,,,,,,
Panda OG,https://www.leafly.com/strains/panda-og,Hybrid,aka Panda,4.3,(32),THC —,CBD —,Focused,,,,,,,,,,,,,,,
Purple Diamond,https://www.leafly.com/strains/purple-diamond,Hybrid,,4.3,(10),THC —,CBD —,Tingly,,,,,,,,,,,,,,,
Sunburn,https://www.leafly.com/strains/sunburn,Sativa,,4.4,(58),THC 20%,CBG 1%,Energetic,Caryophyllene,,,,,,,,,,,,,,
Alaska,https://www.leafly.com/strains/alaska,Sativa,,4.5,(87),THC —,CBD —,Energetic,,,,,,,,,,,,,,,
Sour Banana,https://www.leafly.com/strains/sour-banana,Hybrid,,3.8,(17),THC 24%,CBG 1%,Focused,Limonene,,,,,,,,,,,,,,
Terpwin Station,https://www.leafly.com/strains/terpwin-station,Hybrid,,4.1,(18),THC —,CBD —,Hungry,,https://www.leafly.com/search/shop?shopCategory=strain&shopName=Terpwin%20Station,shop menus,,,,,,,,,,,,
Eastside OG,https://www.leafly.com/strains/eastside-og,Hybrid,,4.6,(5),THC —,CBD —,Creative,,,,,,,,,,,,,,,
OG Poison,https://www.leafly.com/strains/og-poison,Hybrid,aka Poison og,4.3,(45),THC —,CBD —,Sleepy,,,,,,,,,,,,,,,
Blue Glue,https://www.leafly.com/strains/blue-glue,Hybrid,,4.9,(14),THC 17%,CBD 0%,Euphoric,Pinene,,,,,,,,,,,,,,
Mountaintop Mint,https://www.leafly.com/strains/mountaintop-mint,Hybrid,,4.8,(6),THC 22%,CBD 0%,Aroused,Limonene,,,,,,,,,,,,,,
Dr. Gonzo,https://www.leafly.com/strains/dr-gonzo,Hybrid,,4.7,(23),THC —,CBD —,Aroused,,,,,,,,,,,,,,,
Hectane,https://www.leafly.com/strains/hectane,Hybrid,,4.5,(12),THC 24%,CBD 0%,Tingly,Limonene,,,,,,,,,,,,,,
Godzilla,https://www.leafly.com/strains/godzilla,Indica,,4.3,(48),THC 21%,CBD 0%,Hungry,Caryophyllene,,,,,,,,,,,,,,
Collie Man Kush,https://www.leafly.com/strains/collie-man-kush,Hybrid,,4.7,(3),THC 27%,CBG 1%,Talkative,Caryophyllene,,,,,,,,,,,,,,
Londonchello,https://www.leafly.com/strains/londonchello,Hybrid,,4.0,(9),THC —,CBD —,Focused,,,,,,,,,,,,,,,
Sour Cream,https://www.leafly.com/strains/sour-cream,Hybrid,,4.2,(88),THC 19%,CBD 0%,Happy,Pinene,,,,,,,,,,,,,,
Sherb Breath,https://www.leafly.com/strains/sherb-breath,Hybrid,aka Sherb's Breath,4.8,(10),THC 24%,CBG 1%,Creative,Limonene,,,,,,,,,,,,,,
Double Durban,https://www.leafly.com/strains/double-durban,Indica,,4.3,(12),THC —,CBD —,Aroused,,,,,,,,,,,,,,,
Purple Pie,https://www.leafly.com/strains/purple-pie,Hybrid,,4.8,(8),THC —,CBD —,Hungry,,,,,,,,,,,,,,,
Huckleberry Soda,https://www.leafly.com/strains/huckleberry-soda,Hybrid,,4.4,(7),THC 18%,CBD 0%,Creative,Myrcene,,,,,,,,,,,,,,
Northern Wreck,https://www.leafly.com/strains/northern-wreck,Indica,"aka Northern Trainwreck, Northern Lights x Trainwreck",4.7,(87),THC 28%,CBG 1%,Relaxed,Caryophyllene,,,,,,,,,,,,,,
Alpha Blue,https://www.leafly.com/strains/alpha-blue,Sativa,"aka Alpha Dream, DD",4.4,(115),THC 20%,CBG 1%,Energetic,Myrcene,,,,,,,,,,,,,,
Queen Mother Goji,https://www.leafly.com/strains/queen-mother-goji,Indica,,4.7,(52),THC —,CBD —,Focused,,,,,,,,,,,,,,,
Apollo 13,https://www.leafly.com/strains/apollo-13,Hybrid,,4.3,(155),THC 19%,CBD 0%,Energetic,Myrcene,,,,,,,,,,,,,,
Secret Cookies,https://www.leafly.com/strains/secret-cookies,Hybrid,,4.6,(13),THC —,CBD —,Relaxed,,,,,,,,,,,,,,,
Hubba Bubba Kush,https://www.leafly.com/strains/hubba-bubba-kush,Hybrid,"aka Hubba Bubba, Hubba Bubba OG, HBK",4.3,(16),THC —,CBD —,Sleepy,,,,,,,,,,,,,,,
White Lightning,https://www.leafly.com/strains/white-lightning,Hybrid,,4.4,(109),THC 17%,CBD 0%,Happy,Myrcene,,,,,,,,,,,,,,
Querkle,https://www.leafly.com/strains/querkle,Indica,,4.2,(255),THC 19%,CBG 1%,Sleepy,Myrcene,,,,,,,,,,,,,,
Lemon Banana Sherbet,https://www.leafly.com/strains/lemon-banana-sherbet,Hybrid,,4.3,(30),THC 19%,CBG 1%,Happy,Myrcene,,,,,,,,,,,,,,
Slymer,https://www.leafly.com/strains/slymer,Hybrid,aka Slimer,3.9,(8),THC 19%,CBG 1%,Talkative,Terpinolene,,,,,,,,,,,,,,
NF1,https://www.leafly.com/strains/nf1,Hybrid,,4.6,(40),THC —,CBD —,Talkative,,,,,,,,,,,,,,,
Tropicana Haze,https://www.leafly.com/strains/tropicana-haze,,,4.8,(13),THC 20%,CBD 0%,Talkative,Myrcene,,,,,,,,,,,,,,
Dark Side of the Moon,https://www.leafly.com/strains/dark-side-of-the-moon,Indica,,4.6,(59),THC 20%,CBG 1%,Sleepy,Limonene,,,,,,,,,,,,,,
Purple Glue,https://www.leafly.com/strains/purple-glue,Hybrid,,4.7,(20),THC 24%,CBG 2%,Euphoric,Myrcene,,,,,,,,,,,,,,
G Wagon,https://www.leafly.com/strains/g-wagon,Sativa,,4.2,(37),THC —,CBD —,Energetic,,,,,,,,,,,,,,,
Purple Frost,https://www.leafly.com/strains/purple-frost,Hybrid,,4.4,(16),THC 19%,CBD 0%,Talkative,Myrcene,,,,,,,,,,,,,,
American Pie,https://www.leafly.com/strains/american-pie,Hybrid,,4.7,(13),THC 23%,CBG 1%,Uplifted,Myrcene,,,,,,,,,,,,,,
Frostbite,https://www.leafly.com/strains/frostbite,Sativa,,4.1,(34),THC 18%,CBD 0%,Talkative,Myrcene,,,,,,,,,,,,,,
Lemon Lava,https://www.leafly.com/strains/lemon-lava,Hybrid,,4.5,(12),THC —,CBD —,Focused,,,,,,,,,,,,,,,
Big Bang,https://www.leafly.com/strains/big-bang,Indica,,4.0,(77),THC —,CBD —,Sleepy,,,,,,,,,,,,,,,
Critical Plus 2.0,https://www.leafly.com/strains/critical-plus-20,Indica,,4.3,(30),THC 19%,CBG 1%,Tingly,Myrcene,,,,,,,,,,,,,,
Arise,https://www.leafly.com/strains/arise,Sativa,,4.3,(8),THC —,CBD —,Focused,,,,,,,,,,,,,,,
K2,https://www.leafly.com/strains/k2,Hybrid,,3.9,(56),THC —,CBD —,Hungry,,,,,,,,,,,,,,,
Wedding Cake MAC,https://www.leafly.com/strains/wedding-cake-mac,Hybrid,,4.3,(3),THC 24%,CBG 1%,,Limonene,,,,,,,,,,,,,,
SnowLAnd,https://www.leafly.com/strains/snowland,Hybrid,aka Snowland,4.7,(64),THC 20%,CBG 2%,Aroused,Terpinolene,,,,,,,,,,,,,,
Vanilla Gorilla,https://www.leafly.com/strains/vanilla-gorilla,Hybrid,,4.3,(22),THC 18%,CBD 0%,Giggly,Caryophyllene,,,,,,,,,,,,,,
Buddha Haze,https://www.leafly.com/strains/buddha-haze,Sativa,,4.6,(48),THC —,CBD —,Uplifted,,,,,,,,,,,,,,,
Black Diesel,https://www.leafly.com/strains/black-diesel,Sativa,,4.2,(77),THC —,CBD —,Energetic,,,,,,,,,,,,,,,
Honey Badger Haze,https://www.leafly.com/strains/honey-badger-haze,Hybrid,aka Honey Badger,4.6,(34),THC 22%,CBG 1%,Energetic,Myrcene,,,,,,,,,,,,,,
Warhead,https://www.leafly.com/strains/warhead,Hybrid,,4.9,(9),THC 20%,CBD 0%,Happy,Myrcene,,,,,,,,,,,,,,
Shark Cake,https://www.leafly.com/strains/shark-cake,Hybrid,,4.6,(14),THC —,CBD —,Talkative,,,,,,,,,,,,,,,
Acid Dough,https://www.leafly.com/strains/acid-dough,Sativa,,4.6,(34),THC —,CBD —,Energetic,,,,,,,,,,,,,,,
Jungle Punch #8,https://www.leafly.com/strains/jungle-punch-8,,,4.0,(9),THC —,CBD —,Relaxed,,,,,,,,,,,,,,,
Dark Shadow Haze,https://www.leafly.com/strains/dark-shadow-haze,Hybrid,,4.8,(8),THC 15%,CBD 1%,Euphoric,Myrcene,,,,,,,,,,,,,,
MAC Mints,https://www.leafly.com/strains/mac-mints,,,4.6,(9),THC —,CBD —,Relaxed,,,,,,,,,,,,,,,
Humboldt,https://www.leafly.com/strains/humboldt,Hybrid,aka Humboldt Kush,4.2,(50),THC 18%,CBD 0%,Giggly,Myrcene,,,,,,,,,,,,,,
Sour Strawberry Diesel,https://www.leafly.com/strains/sour-strawberry-diesel,Hybrid,,4.5,(62),THC 22%,CBG 1%,Aroused,Limonene,,,,,,,,,,,,,,
Cookies and Dream,https://www.leafly.com/strains/cookies-and-dream,Hybrid,"aka Cookies 'N Dream, Dream Cookie",4.6,(57),THC —,CBD —,Happy,,,,,,,,,,,,,,,
Triangle Canyon,https://www.leafly.com/strains/triangle-canyon,Hybrid,,4.6,(10),THC 22%,CBG 1%,Tingly,Limonene,,,,,,,,,,,,,,
Glazed Cherries,https://www.leafly.com/strains/glazed-cherries,Hybrid,,4.3,(4),THC —,CBD —,Uplifted,,,,,,,,,,,,,,,
Candy Cream,https://www.leafly.com/strains/candy-cream,,,4.5,(8),THC 24%,CBG 1%,Aroused,Caryophyllene,,,,,,,,,,,,,,
Dynamite,https://www.leafly.com/strains/dynamite,Indica,,4.3,(103),THC —,CBD —,Sleepy,,,,,,,,,,,,,,,
Strawberry Jelly,https://www.leafly.com/strains/strawberry-jelly,Hybrid,,4.8,(6),THC —,CBD —,Giggly,,,,,,,,,,,,,,,
Blue Rhino,https://www.leafly.com/strains/blue-rhino,Hybrid,,4.2,(133),THC 19%,CBG 1%,Sleepy,Limonene,,,,,,,,,,,,,,
Buddha Tahoe,https://www.leafly.com/strains/buddha-tahoe,Indica,"aka Buddha Tahoe OG, Buddha Tahoe OG Kush",4.5,(112),THC 18%,CBD 0%,Relaxed,Myrcene,,,,,,,,,,,,,,
Paradise Circus,https://www.leafly.com/strains/paradise-circus,Hybrid,,4.2,(24),THC 20%,CBD 0%,Uplifted,Caryophyllene,,,,,,,,,,,,,,
Lucid Dream,https://www.leafly.com/strains/lucid-dream,Hybrid,,4.6,(114),THC —,CBD —,Energetic,,,,,,,,,,,,,,,
Moon Pie,https://www.leafly.com/strains/moon-pie,Hybrid,,4.5,(6),THC —,CBD —,,,https://www.leafly.com/search/shop?shopCategory=strain&shopName=Moon%20Pie,shop menus,,,,,,,,,,,,
Ice Wreck,https://www.leafly.com/strains/ice-wreck,Hybrid,,4.2,(51),THC —,CBD —,Tingly,,,,,,,,,,,,,,,
Purple Lamborghini,https://www.leafly.com/strains/purple-lamborghini,Hybrid,,4.7,(13),THC 18%,CBD 0%,Aroused,Myrcene,,,,,,,,,,,,,,
Purple Dog Poop,https://www.leafly.com/strains/purple-dog-shit,Hybrid,aka Purple Dog Shit,4.7,(23),THC —,CBD —,Giggly,,,,,,,,,,,,,,,
Pootie Tang,https://www.leafly.com/strains/pootie-tang,Hybrid,,4.7,(26),THC —,CBD —,Talkative,,,,,,,,,,,,,,,
Bubba Cake,https://www.leafly.com/strains/bubba-cake,Hybrid,,4.8,(10),THC 20%,CBD 0%,Relaxed,Myrcene,,,,,,,,,,,,,,
Valley Girl,https://www.leafly.com/strains/valley-girl,Hybrid,aka Valley Girl OG,4.6,(48),THC 21%,CBG 1%,Happy,Caryophyllene,,,,,,,,,,,,,,
Tropical Kush,https://www.leafly.com/strains/tropical-kush,Hybrid,,3.2,(6),THC —,CBD —,Sleepy,,,,,,,,,,,,,,,
Cali OG Kush,https://www.leafly.com/strains/cali-og-kush,,,3.5,(2),CBD 7%,THC 7%,Relaxed,Myrcene,,,,,,,,,,,,,,
Alien Pebbles,https://www.leafly.com/strains/alien-pebbles,Hybrid,,4.6,(14),THC —,CBD —,Focused,,,,,,,,,,,,,,,
Lemon Alien Dawg,https://www.leafly.com/strains/lemon-alien-dawg,Hybrid,aka L.A.D.,4.5,(77),THC 17%,CBG 1%,Relaxed,Myrcene,,,,,,,,,,,,,,
Petrolia Headstash,https://www.leafly.com/strains/petrolia-headstash,Indica,"aka Petrol Headstash, Petrolia, Headstash",4.3,(21),THC —,CBD —,Aroused,,,,,,,,,,,,,,,
Clementine Kush,https://www.leafly.com/strains/clementine-kush,Hybrid,,4.4,(36),THC 13%,CBG 1%,Giggly,Caryophyllene,,,,,,,,,,,,,,
Ash,https://www.leafly.com/strains/ash,Hybrid,,4.6,(16),THC 14%,CBG 1%,Happy,Myrcene,,,,,,,,,,,,,,
Grape Skunk,https://www.leafly.com/strains/grape-skunk,Indica,,4.2,(46),THC 27%,CBG 1%,Happy,Myrcene,,,,,,,,,,,,,,
Cherry Haze,https://www.leafly.com/strains/cherry-haze,Sativa,,4.7,(3),THC 19%,CBG 1%,Energetic,Myrcene,,,,,,,,,,,,,,
Nutter Budder,https://www.leafly.com/strains/nutter-budder,Hybrid,aka Nutter Butter,4.8,(9),THC —,CBD —,Happy,,,,,,,,,,,,,,,
Dank Sinatra,https://www.leafly.com/strains/dank-sinatra,Hybrid,,4.4,(20),THC 18%,CBD 0%,Sleepy,Limonene,,,,,,,,,,,,,,
Alaskan Purple,https://www.leafly.com/strains/alaskan-purple,Hybrid,aka Purple Alaskan,4.2,(6),THC —,CBD —,Sleepy,,,,,,,,,,,,,,,
Frisian Duck,https://www.leafly.com/strains/frisian-duck,Hybrid,,4.3,(19),THC —,CBD —,Hungry,,,,,,,,,,,,,,,
Blue Ice,https://www.leafly.com/strains/blue-ice,Hybrid,,4.5,(8),THC 18%,CBD 0%,Giggly,Pinene,,,,,,,,,,,,,,
Pheno 51,https://www.leafly.com/strains/pheno-51,Hybrid,,4.4,(52),THC —,CBD —,Relaxed,,,,,,,,,,,,,,,
Devil Fruit,https://www.leafly.com/strains/devil-fruit,Indica,,4.3,(25),THC —,CBD —,Tingly,,,,,,,,,,,,,,,
Guava Cookies,https://www.leafly.com/strains/guava-cookies,Hybrid,,5.0,(6),THC 18%,CBG 1%,Aroused,Pinene,,,,,,,,,,,,,,
Gelato Dream,https://www.leafly.com/strains/gelato-dream,Hybrid,,4.7,(3),THC 20%,CBG 1%,Euphoric,Limonene,,,,,,,,,,,,,,
Cake 'n Chem,https://www.leafly.com/strains/cake-n-chem,,,4.0,(14),THC —,CBD —,Aroused,,,,,,,,,,,,,,,
Gorilla Pie,https://www.leafly.com/strains/gorilla-pie,Hybrid,,4.8,(20),THC 21%,CBG 1%,Creative,Pinene,https://www.leafly.com/search/shop?shopCategory=strain&shopName=Gorilla%20Pie,shop menus,,,,,,,,,,,,
Appleberry,https://www.leafly.com/strains/appleberry,Indica,,4.6,(14),THC 25%,CBG 1%,Sleepy,Myrcene,,,,,,,,,,,,,,
Endless Sky,https://www.leafly.com/strains/endless-sky,Indica,,4.7,(29),THC —,CBD —,Sleepy,,,,,,,,,,,,,,,
Emerald City Kush,https://www.leafly.com/strains/emerald-city-kush,,,4.7,(6),THC —,CBD —,Sleepy,,https://www.leafly.com/search/shop?shopCategory=strain&shopName=Emerald%20City%20Kush,shop menus,,,,,,,,,,,,
Cookie Breath,https://www.leafly.com/strains/cookie-breath,Hybrid,,4.5,(26),THC 12%,CBD 0%,Happy,Myrcene,,,,,,,,,,,,,,
Captain Jack,https://www.leafly.com/strains/captain-jack,Hybrid,,4.8,(12),THC 20%,CBG 2%,Aroused,Myrcene,,,,,,,,,,,,,,
Sweet Kush,https://www.leafly.com/strains/sweet-kush,Hybrid,"aka Sweet OG Kush, Sweet Hindu Kush",4.2,(96),THC 17%,CBD 0%,Hungry,Pinene,,,,,,,,,,,,,,
Sugar Plum,https://www.leafly.com/strains/sugar-plum,Sativa,,4.4,(54),THC 20%,CBG 1%,Uplifted,Myrcene,,,,,,,,,,,,,,
Juice Box,https://www.leafly.com/strains/juice-box,Hybrid,,5.0,(10),THC —,CBD —,Talkative,,,,,,,,,,,,,,,
Grape Gas #7,https://www.leafly.com/strains/grape-gas-7,,,4.7,(12),THC 19%,CBD 0%,Uplifted,Limonene,https://www.leafly.com/search/shop?shopCategory=strain&shopName=Grape%20Gas%20%237,shop menus,,,,,,,,,,,,
Gummy Bunz,https://www.leafly.com/strains/gummy-bunz,,,4.5,(4),THC —,CBD —,Focused,,,,,,,,,,,,,,,
Knockout Runtz,https://www.leafly.com/strains/knockout-runtz,Hybrid,,5.0,(5),THC —,CBD —,,,,,,,,,,,,,,,,
Humble Pie,https://www.leafly.com/strains/humble-pie,Hybrid,,4.7,(13),THC 24%,CBG 1%,Uplifted,Caryophyllene,,,,,,,,,,,,,,
Versace,https://www.leafly.com/strains/versace,Hybrid,,4.8,(31),THC 14%,CBD 0%,Focused,Myrcene,,,,,,,,,,,,,,
Nova,https://www.leafly.com/strains/nova,Indica,,4.9,(17),THC —,CBD —,Euphoric,,,,,,,,,,,,,,,
Coffee Ice Cream,https://www.leafly.com/strains/coffee-ice-cream,Hybrid,,4.8,(24),THC —,CBD —,Sleepy,,,,,,,,,,,,,,,
KC 33,https://www.leafly.com/strains/kc-33,Hybrid,,4.3,(12),THC —,CBD —,Hungry,,,,,,,,,,,,,,,
Orange Pie,https://www.leafly.com/strains/orange-pie,Hybrid,,4.3,(32),THC —,CBD —,Hungry,,,,,,,,,,,,,,,
Pablo’s Mint,https://www.leafly.com/strains/pablos-mint,Hybrid,,5.0,(2),THC —,CBD —,,,,,,,,,,,,,,,,
Xeno,https://www.leafly.com/strains/xeno,Hybrid,,4.5,(6),THC —,CBD —,Sleepy,,,,,,,,,,,,,,,
Mixed Berry,https://www.leafly.com/strains/mixed-berry,,,4.5,(20),THC —,CBD —,Aroused,,https://www.leafly.com/search/shop?shopCategory=strain&shopName=Mixed%20Berry,shop menus,,,,,,,,,,,,
Blackberry Diesel,https://www.leafly.com/strains/blackberry-diesel,Sativa,aka Blackberry Sour,4.2,(25),THC 12%,CBG 1%,Energetic,Myrcene,,,,,,,,,,,,,,
Jungle Breath,https://www.leafly.com/strains/jungle-breath,Hybrid,,4.4,(8),THC —,CBD —,Tingly,,,,,,,,,,,,,,,
Wedding Gushers,https://www.leafly.com/strains/wedding-gushers,Hybrid,,4.5,(6),THC —,CBD —,Uplifted,,,,,,,,,,,,,,,
Citrus Punch,https://www.leafly.com/strains/citrus-punch,Sativa,,4.3,(33),THC 11%,CBD 0%,Uplifted,Myrcene,,,,,,,,,,,,,,
Wifi Mints,https://www.leafly.com/strains/wifi-mints,Hybrid,,4.4,(5),THC 19%,CBG 1%,Giggly,Limonene,,,,,,,,,,,,,,
Space Jam,https://www.leafly.com/strains/space-jam,Hybrid,,4.7,(3),THC —,CBD —,Hungry,,https://www.leafly.com/search/shop?shopCategory=strain&shopName=Space%20Jam,shop menus,,,,,,,,,,,,
Cataract Kush,https://www.leafly.com/strains/cataract-kush,Hybrid,,4.4,(186),THC 17%,CBG 1%,Sleepy,Limonene,,,,,,,,,,,,,,
Dread Bread,https://www.leafly.com/strains/dread-bread,,,4.8,(13),THC 21%,CBG 1%,Focused,Terpinolene,,,,,,,,,,,,,,
Caked Up Cherries,https://www.leafly.com/strains/caked-up-cherries,Hybrid,,4.2,(5),THC 25%,CBG 1%,Euphoric,Limonene,,,,,,,,,,,,,,
It's It,https://www.leafly.com/strains/its-it,Hybrid,,3.6,(11),THC 15%,THCV 1%,Uplifted,Limonene,,,,,,,,,,,,,,
Maple Leaf Indica,https://www.leafly.com/strains/maple-leaf-indica,Indica,,4.4,(49),THC 16%,CBG 1%,Sleepy,Myrcene,,,,,,,,,,,,,,
Triple Diesel,https://www.leafly.com/strains/triple-diesel,Sativa,aka Triple D,4.3,(73),THC —,CBD —,Focused,,,,,,,,,,,,,,,
Mule Fuel,https://www.leafly.com/strains/mule-fuel,Hybrid,,4.6,(18),THC 28%,CBD 0%,Sleepy,Terpinolene,,,,,,,,,,,,,,
Kush Mountain,https://www.leafly.com/strains/kush-mountain,Indica,,5.0,(9),THC 19%,CBG 1%,Aroused,Terpinolene,,,,,,,,,,,,,,
Gelato Punch,https://www.leafly.com/strains/gelato-punch,Hybrid,,3.6,(8),THC —,CBD —,Happy,,,,,,,,,,,,,,,
Sharksbreath,https://www.leafly.com/strains/sharks-breath,Hybrid,"aka Shark Breath, Shark's Breath",4.3,(91),THC 17%,CBG 1%,Focused,Caryophyllene,,,,,,,,,,,,,,
Yuck Mouth,https://www.leafly.com/strains/yuck-mouth,Hybrid,,4.4,(11),THC —,CBD —,Focused,,,,,,,,,,,,,,,
Sour Alien,https://www.leafly.com/strains/sour-alien,Hybrid,aka Sour Alien OG,4.3,(130),THC 19%,CBG 1%,Tingly,Terpinolene,,,,,,,,,,,,,,
Hawaiian Dream,https://www.leafly.com/strains/hawaiian-dream,Sativa,,4.5,(77),THC —,CBD —,Focused,,,,,,,,,,,,,,,
